Column Name,Data type,Table
link,varchar,general_data
date,date,general_data
track,varchar,general_data
country,varchar,general_data
time,time,general_data
race_title,text,general_data
race_name,varchar,general_data
race_class,int,general_data
handicap_rating,varchar,general_data
age_class,varchar,general_data
distance_mls,numeric,general_data
distance,numeric,general_data
going,varchar,general_data
prize,varchar,general_data
total_runners,int,general_data
winning_time,numeric,general_data
winning_timevar,numeric,general_data
total_sp,numeric,general_data
edate,datetime,general_data
link,varchar,player_data
date,date,player_data
position,varchar,player_data
row_index,int,player_data
draw,int,player_data
horse_name,varchar,player_data
horse_country,varchar,player_data
price_decimal,numeric,player_data
price_fraction,varchar,player_data
price_symbol,varchar,player_data
horse_age,int,player_data
birth_year,int,player_data
horse_weight,int,player_data
dist_upper,numeric,player_data
dist_beaten,numeric,player_data
racecard_number,int,player_data
horse_or,int,player_data
horse_ts,int,player_data
horse_rpr,int,player_data
horse_jockey,varchar,player_data
horse_trainer,varchar,player_data
color,varchar,player_data
sex,varchar,player_data
sire,varchar,player_data
dam,varchar,player_data
damsire,varchar,player_data
price_var,varchar,player_data
headgear,varchar,player_data
wind_12,int,player_data
