track,country,time,race_name,race_class,handicap_rating,age_class,distance_mls,distance,going,prize,total_runners,winning_time,winning_timevar,total_sp,position,row_index,draw,horse_name,horse_country,price_decimal,price_fraction,price_symbol,horse_age,birth_year,horse_weight,dist_upper,dist_beaten,racecard_number,horse_or,horse_ts,horse_rpr,horse_jockey,horse_trainer,color,sex,sire,dam,damsire,price_var,headgear,wind_12
Cork (IRE),Ireland,01:00:00,C1: Amateur; C4: Handicap;,0.0,,2yo,0.0000,0.6250,Good,"1: €11,800; 2: €3,800; 3: €1,800; 4: €800; 5: €400; 6: €200",3.0,61.48,-26.10,81.00,1,0.0,0.0,Aared,,1.444,1/1,,9.0,2010.0,110.0,0.2500,0.0000,9.0,0.0,0.0,0.0,A P Heskin,A J McNamara,b,c,Acclamation,Abeja (IRE),A.P. Indy,,,0.0
Ffos Las,UK,01:15:00,C1: Apprentice; C4: Handicap;,1.0,0-100,3yo,0.6267,0.7500,Good To Soft,"1: €14,750; 2: €4,750; 3: €2,250; 4: €1,000; 5: €500; 6: €250",5.0,61.51,-25.14,105.00,10,9.0,9.0,Abate,FR,1.500,1/2,F,3.0,2007.0,111.0,0.5000,0.2500,15.0,10.0,1.0,2.0,Aaron Anderson,A Oliver,bb,f,Adaay (IRE),Absent Beauty (IRE),Acclamation,op 10/1,b,1.0
Gowran Park (IRE),,01:25:00,C2: Auction;,2.0,0-105,3yo+,0.6369,0.8750,Soft,"1: €17,700; 2: €5,700; 3: €2,700; 4: €1,200; 5: €600; 6: €300",6.0,62.28,-24.20,106.00,11,15.0,15.0,Abbey Magic,GER,1.615,10/1,J,12.0,2013.0,112.0,0.7500,0.5000,3.0,40.0,2.0,3.0,Adam Farragher,A P O'Brien,bl,g,Air Chief Marshal (IRE),Absolutus (USA),Accordion,op 10/1 tchd 11/1,e/s,2.0
Kempton,,01:30:00,C2: Auction; C3: Maiden; C6: Hurdle;,3.0,0-115,4-6yo,0.7568,1.0000,Soft To Heavy,"1: €23,600; 2: €7,600; 3: €3,600; 4: €1,600; 5: €800; 6: €400",7.0,62.40,-23.30,109.00,12,3.0,3.0,Abyssinian,HOL,1.667,100/1,,6.0,2008.0,114.0,1.0000,0.7500,12.0,45.0,3.0,4.0,Adam Kirby,Adam West,br,m,Aizavoski (IRE),Adaala (USA),Act One,op 10/1 tchd 11/2,h,
Naas (IRE),,01:35:00,C2: Auction; C3: Novice; C8: Stakes;,4.0,0-120,4-7yo,0.7614,1.0625,Standard,"1: €28,025; 2: €9,025; 3: €4,275; 4: €1,900; 5: €950; 6: €475",8.0,66.57,-22.10,110.00,13,12.0,12.0,Admiral's Sunset,IRE,1.727,100/30,,7.0,2016.0,115.0,1.2500,1.0000,6.0,46.0,4.0,5.0,Adam McNamara,Adrian McGuinness,ch,,Al Kazeem,Aegean Mystery,Agent Bleu,op 10/1 tchd 13/2,hp,
Plumpton,,01:45:00,C2: Claiming; C4: Classified; C8: Stakes;,5.0,0-130,4yo+,0.8955,1.1875,,"1: €5,310; 2: €1,710; 3: €810; 4: €360; 5: €180; 6: €90",9.0,75.00,-22.00,111.00,14,6.0,6.0,Agent Saonois,USA,2.000,11/1,,10.0,2014.0,116.0,1.5000,1.2500,7.0,47.0,5.0,6.0,Adam Short,Adrian Nicholls,gb,,Albaasil (IRE),African Rose,Agnes World,op 10/1 tchd 14/1,ht,
Pontefract,,01:55:00,C2: Conditions; C8: Stakes;,6.0,0-135,5yo+,1.0034,1.2500,,"1: €5,900; 2: €1,900; 3: €900; 4: €400; 5: €200; 6: €100",10.0,75.19,-21.40,112.00,15,7.0,7.0,Aingeal Dorcha,,2.250,11/2,,4.0,2011.0,117.0,1.7500,1.5000,1.0,48.0,6.0,10.0,Adam Tracey,Adrian Wintle,gr,,Alberto Giacometti (IRE),Agosta I (FR),Al Nasr,op 10/1 tchd 17/2,p,
Sedgefield,,02:00:00,C2: Nursery; C4: Handicap;,,0-140,,1.0176,1.4375,,"1: €6,490; 2: €2,090; 3: €990; 4: €440; 5: €220; 6: €110",11.0,75.25,-21.20,113.00,16,1.0,1.0,Air Hair Lair,,2.375,11/4,,13.0,2017.0,118.0,2.0000,1.7500,18.0,49.0,7.0,11.0,Aidan Coleman,Alan Berry,rg,,Alhebayeb (IRE),Akhila (IRE),Alamshar,op 10/1 tchd 17/2 and tchd 11/1,t,
Windsor,,02:05:00,C3: Beginners; C6: Chase;,,0-145,,1.0807,1.5000,,"1: €70,800; 2: €22,800; 3: €10,800; 4: €4,800; 5: €2,400; 6: €1,200",12.0,75.64,-21.00,114.00,17,10.0,18.0,Ajyaall,,2.400,11/8,,5.0,2012.0,119.0,2.2500,2.0000,10.0,50.0,8.0,12.0,Alan Johns,Alan King,ro,,American Pharoah (USA),Aktress (IRE),Alderbrook,op 10/1 tchd 9/1,tb,
Wolverhampton (AW),,02:07:00,C3: Maiden;,,0-55,,1.1841,1.7500,,"1: €9,145; 2: €2,945; 3: €1,395; 4: €620; 5: €310",13.0,75.96,-20.91,115.00,18,4.0,10.0,Al Kout,,2.500,12/1,,2.0,2018.0,120.0,2.5000,2.2500,4.0,51.0,9.0,14.0,Alan Persse,Alan Phillips,,,Anjaal,Al Gharrafa,Alflora,op 10/1 tchd 9/1 and tchd 12/1,tp,
